,scale
Size,2.1345719212872853
Weight,2.0152228970469808
Sweetness,1.947709936709766
Softness,2.0646531187349044
HarvestTime,1.9953841386506068
Ripeness,2.1109218626656303
Acidity,2.2904672467969656
weight_to_size,404.8077525111644
ripeness_to_harvest,362.54620798607084
acidity_times_softness,4.493726750925526
Size^2,6.345935520446658
Size^3,35.255867191403546
Weight^2,5.70815002195759
Weight^3,29.946225745981682
Sweetness^2,5.4173333062311695
Sweetness^3,28.351691967267342
Softness^2,5.414807636618611
Softness^3,29.569364687462514
HarvestTime^2,5.7007871813370405
HarvestTime^3,30.293089975214603
Ripeness^2,6.265972590593355
Ripeness^3,34.62782620343031
Acidity^2,6.787417535749093
Acidity^3,40.57358169676743
Size*Weight,4.335250121793507
Ripeness*Sweetness,4.689225655988906
HarvestTime*Acidity,4.1659110462091435
