,min
Size,0.5435173219505415
Weight,0.5926415747064715
Sweetness,0.49906101815860504
Softness,0.5187590113070512
HarvestTime,0.5575436270800155
Ripeness,0.4601130574932556
Acidity,0.5234023979694995
weight_to_size,0.12572881083224596
ripeness_to_harvest,0.6998488247250513
acidity_times_softness,0.5948549316958975
Size^2,-6.984638110529794e-11
Size^3,0.6279734040063201
Weight^2,-3.5002455445837157e-09
Weight^3,0.7548574449647779
Sweetness^2,-4.851114445125845e-09
Sweetness^3,0.49718308096795055
Softness^2,-6.607938560621164e-09
Softness^3,0.5560666804253677
HarvestTime^2,-4.3599462581398283e-10
HarvestTime^3,0.6667665442639035
Ripeness^2,-6.181725390213242e-10
Ripeness^3,0.3823318131505497
Acidity^2,-1.1742623572961048e-09
Acidity^3,0.5697997327782452
Size*Weight,0.4564826780494585
Ripeness*Sweetness,0.5398869425067444
HarvestTime*Acidity,0.45523037536599764
