,center
Size,-0.89751402
Weight,-0.868658975
Sweetness,-1.0206731
Softness,0.20264395
HarvestTime,-0.93419198
Ripeness,0.96495169
Acidity,0.09873514
weight_to_size,-0.14957554028190173
ripeness_to_harvest,-0.06179353627622182
acidity_times_softness,-0.00825758119894969
Size^2,2.75252256526468
Size^3,-0.7229757670617262
Weight^2,2.598800201358425
Weight^3,-0.6554679136727011
Sweetness^2,2.4057810744736052
Sweetness^3,-1.0633102669091543
Softness^2,2.4603089465574097
Softness^3,0.008321818850640764
HarvestTime^2,2.42769816954209
HarvestTime^3,-0.8152845401702669
Ripeness^2,2.7259978044994
Ripeness^3,0.8984973507380526
Acidity^2,2.763860217944445
Acidity^3,0.0009628761999610992
Size*Weight,-0.23811976217395792
Ripeness*Sweetness,-0.03696784845309935
HarvestTime*Acidity,-0.44609132695115106
