,mean
Size,-0.7494332752193791
Weight,-0.7613045770442437
Sweetness,-0.7716521809968925
Softness,-0.014628166313258816
HarvestTime,-0.7518959040820962
Ripeness,0.7828704885348439
Acidity,0.011442402897240016
weight_to_size,5.028890598048899
ripeness_to_harvest,-0.16155253536349323
acidity_times_softness,-0.6479471168954853
Size^2,5.00046083314576
Size^3,-8.08203781344259
Weight^2,4.539857099181827
Weight^3,-9.1159288590789
Sweetness^2,4.28209430105001
Sweetness^3,-4.831910893006085
Softness^2,4.134680273701288
Softness^3,-1.8519658155121743
HarvestTime^2,4.437042317472057
HarvestTime^3,-7.052641143202517
Ripeness^2,4.937298756661067
Ripeness^3,8.005921763166597
Acidity^2,5.097839979417898
Acidity^3,-1.2697685063466069
Size*Weight,-0.20374853171838062
Ripeness*Sweetness,0.11121042322010202
HarvestTime*Acidity,-0.4411262290711833
