,accuracy,precision,recall,f1,roc_auc
64_relu_adam_bs32_ep50,0.9825,0.988621997471555,0.9762796504369539,0.9824120603015075,0.9952906176415901
64_relu_adam_bs32_ep100,0.9825,0.9861635220125786,0.978776529338327,0.9824561403508771,0.9956187431542861
64_relu_adam_bs64_ep50,0.98125,0.9861286254728878,0.9762796504369539,0.9811794228356336,0.9951140548657108
64_relu_adam_bs64_ep100,0.980625,0.9848866498740554,0.9762796504369539,0.980564263322884,0.9952812426269416
64_tanh_adam_bs32_ep50,0.980625,0.9836683417085427,0.9775280898876404,0.9805886036318097,0.9938062403222505
64_tanh_adam_bs32_ep100,0.980625,0.9848866498740554,0.9762796504369539,0.980564263322884,0.9940984282787942
64_tanh_adam_bs64_ep50,0.979375,0.9848484848484849,0.9737827715355806,0.9792843691148776,0.9937140526782072
64_tanh_adam_bs64_ep100,0.980625,0.9836683417085427,0.9775280898876404,0.9805886036318097,0.9933734271459799
128_relu_adam_bs32_ep50,0.98625,0.989937106918239,0.982521847690387,0.9862155388471178,0.9953843677880746
128_relu_adam_bs32_ep100,0.983125,0.98375,0.982521847690387,0.9831355402873204,0.9952898363903693
128_relu_adam_bs64_ep50,0.9825,0.9911054637865311,0.9737827715355806,0.982367758186398,0.9951734299584843
128_relu_adam_bs64_ep100,0.9825,0.9861635220125786,0.978776529338327,0.9824561403508771,0.9950195234680055
128_tanh_adam_bs32_ep50,0.979375,0.9836272040302267,0.9750312109862672,0.9793103448275862,0.9938953029614109
128_tanh_adam_bs32_ep100,0.98,0.9848675914249685,0.9750312109862672,0.9799247176913425,0.9939640530688328
128_tanh_adam_bs64_ep50,0.980625,0.9848866498740554,0.9762796504369539,0.980564263322884,0.9937749902734223
128_tanh_adam_bs64_ep100,0.980625,0.9848866498740554,0.9762796504369539,0.980564263322884,0.9937187401855315
64x32_relu_adam_bs32_ep50,0.98125,0.9776951672862454,0.9850187265917603,0.9813432835820896,0.9947999918749875
64x32_relu_adam_bs32_ep100,0.981875,0.9849246231155779,0.978776529338327,0.9818409517845961,0.99516874245116
64x32_relu_adam_bs64_ep50,0.983125,0.9861809045226131,0.9800249687890137,0.9830932999373826,0.9948843670068234
64x32_relu_adam_bs64_ep100,0.984375,0.9874371859296482,0.9812734082397003,0.9843456480901691,0.9949296795776245
64x32_tanh_adam_bs32_ep50,0.98125,0.9849056603773585,0.9775280898876404,0.981203007518797,0.9946828041918815
64x32_tanh_adam_bs32_ep100,0.97875,0.9823899371069182,0.9750312109862672,0.9786967418546366,0.9939749905859228
64x32_tanh_adam_bs64_ep50,0.980625,0.9836683417085427,0.9775280898876404,0.9805886036318097,0.9938874904492038
64x32_tanh_adam_bs64_ep100,0.98,0.9860935524652339,0.9737827715355806,0.9798994974874372,0.9942734285522321
